%% Statistics result of 30D
   % Func.	                Best	               Worst	              Median	                Mean	                 Std
         1	  42221409998.263641	  79018353010.233459	  72714978262.360199	  70228789580.561218	   8993236272.105387
         2	        82676.442975	       166747.120861	       138067.091262	       132353.022149	        25244.674013
         3	          340.563315	          345.594896	          343.332734	          343.237704	            1.440959
         4	         7753.694382	         9177.539005	         8538.992834	         8494.516842	          330.894120
         5	          503.027942	          505.234357	          504.207014	          504.120814	            0.605389
         6	          605.192572	          607.291601	          606.443375	          606.511316	            0.528985
         7	          836.906101	          900.999187	          872.050885	          868.631042	           16.586298
         8	     23646408.110082	     70457505.633016	     44635064.672574	     46164637.519828	     13073569.067495
         9	          913.673168	          914.184892	          914.024209	          913.980111	            0.165782
        10	     45849844.695775	    181452943.862642	    107528168.034246	    109733841.454732	     34675262.953672
        11	         1269.839166	         1705.254760	         1526.232922	         1519.064226	           92.500303
        12	         3147.343087	        19206.991263	         4693.792752	         6345.954981	         4199.527333
        13	         2398.125341	         3063.961473	         2740.702964	         2703.492913	          189.284318
        14	         1791.587743	         2053.121487	         1887.292157	         1898.092260	           75.644474
        15	         2924.159726	         3329.197496	         3149.245628	         3167.550301	          104.647356
